+----------------------------------------------+------------------+------------------+------------------+---------+-----------+----------+
| identity                                     | G1 avg (795-797) | G2 avg (805-807) | G3 avg (823-825) | G1→G2 % | G2→G3 %   | G1→G3 %  |
+----------------------------------------------+------------------+------------------+------------------+---------+-----------+----------+
| Ha1iade1AH3B12K9SccfWoPdFtQKKQsj2ZyWwxcjqJJU | 43897.594145     | 115241.114361    | 179364.712408    | 162.52% | 55.64%    | 308.60%  |
| ETcW7iuVraMKLMJayNCCsr9bLvKrJPDczy1CMVMPmXTc | 230029.075628    | 248131.171190    | 221970.925072    | 7.87%   | -10.54%   | -3.50%   |
| SscQkTYV2BFQYGGffAmTzvefrFrw6z9GNYiWHstVZ77  | 71143.874759     | 118680.667766    | 98993.822946     | 66.82%  | -16.59%   | 39.15%   |
| icex1C6pnZxznQWiHZZANjGU8nZ8kNquFnjyY7XXrXE  | 100494.222211    | 146941.414513    | 217659.542327    | 46.22%  | 48.13%    | 116.59%  |
| H9ENbtmy2tWFtAJNmpC8xQtbcr1NTp4FXLdphRaG8L2T | 46798.353287     | 92836.585573     | 200015.241605    | 98.38%  | 115.45%   | 327.40%  |
| AccReGBNBdUCEJ7ZyP231jw7uVJ3eF9u4cLBFAyqQuWm | 60481.745727     | 123270.860662    | 104404.695574    | 103.81% | -15.30%   | 72.62%   |
| THWsLPufeq9LWs2H9vYPbtFwdxAHbQHvSbT6pztG8x1  | 112548.584578    | 265735.090174    | 164523.863336    | 136.11% | -38.09%   | 46.18%   |
| metaLond2yfFxCN48HBZGScfbKge6nV61EHYEphRwwR  | 58917.617407     | 154466.013080    | 125723.949224    | 162.17% | -18.61%   | 113.39%  |
| radM7PKUpZwJ9bYPAJ7V8FXHeUmH1zim6iaXUKkftP9  | 186881.727328    | 258357.697765    | 296901.098212    | 38.25%  | 14.92%    | 58.87%   |
| phz1CRbEsCtFCh2Ro5tjyu588VU1WPMwW9BJS9yFNn2  | 189062.542692    | 260561.229395    | 307676.306906    | 37.82%  | 18.08%    | 62.74%   |
| BPKAfGkkzF5u1QRjjB1nWYYbPMUCMPJe1xZPmwEMNMCT | 120517.565040    | 186929.652869    | 159045.158076    | 55.11%  | -14.92%   | 31.97%   |
| BFMufPp4wW276nFzB7FVHgtY8FTahzn53kxxJaNpPGu6 | 199368.959531    | 220314.518139    | 179654.862018    | 10.51%  | -18.46%   | -9.89%   |
| NdMV1C3XMCRqSBwBtNmoUNnKctYh95Ug4xb6FSTcAWr  | 148624.579734    | 228145.311632    | 218695.331112    | 53.50%  | -4.14%    | 47.15%   |
| SQDS9iwyWvT2mQbSZzuNKGoxuBug5jRHouF6SuMRBkA  | 123583.460093    | 161269.487246    | 134537.116426    | 30.49%  | -16.58%   | 8.86%    |
| 91oPXTs2oq8VvJpQ5TnvXakFGnnJSpEB6HFWDtSctwMt | 115326.790583    | 200583.917134    | 332603.459484    | 73.93%  | 65.82%    | 188.40%  |
| NordEHiwa6wT5TCjdeWJzpsA7DSmWQPqfSS7m2b6cv3  | 122619.776165    | 152662.217746    | 152937.152574    | 24.50%  | 0.18%     | 24.72%   |
| SyndicAgdEphcy5xhAKZAomTYhcF8xhC7za2UD9xeug  | 95161.860538     | 175458.088528    | 207400.181764    | 84.38%  | 18.20%    | 117.94%  |
| 4uH4G6YiD5G8rU3mtPg73C2Uqamrqedy3FboTZcZrh6x | 123913.799087    | 128275.922650    | 170852.711323    | 3.52%   | 33.19%    | 37.88%   |
| DP9iBgK9c7tJYb83KhxQMFNc1LXYu7nE7EhWpEzQnjmg | 89578.026155     | 127286.223932    | 107413.295047    | 42.10%  | -15.61%   | 19.91%   |
| tkmaiSoZ3F8MofkQBVWG6JYSCzyN6ioe7ReYXohx3WJ  | 61634.883314     | 96263.637664     | 98241.809500     | 56.18%  | 2.05%     | 59.39%   |
| 8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7 | 161840.904313    | 155594.302750    | 151312.361936    | -3.86%  | -2.75%    | -6.51%   |
| Tri1F8B6YtjkBztGCwBNSLEZib1EAqMUEUM7dTT7ZG3  | 242173.894215    | 290135.861696    | 271963.895511    | 19.80%  | -6.26%    | 12.30%   |
| PRGNnb8DxVcP2WjSHfVRGgc8SkA5u6dbMwoTVV1BGKN  | 263027.166669    | 303057.541859    | 290812.092922    | 15.22%  | -4.04%    | 10.56%   |
| C2ocKwTTZCDpwuyZuem7hih2pkpataAx21P5KHkKboko | 12359.578215     | 52338.754794     | 57646.503207     | 323.47% | 10.14%    | 366.41%  |
| hxMhrsuGPDmkLJ4mTxEjyeMST3VGhTiwJvS9XgHwePj  | 244219.507510    | 271848.691644    | 250768.357492    | 11.31%  | -7.75%    | 2.68%    |
| 4fVW6e4Ww1JUPxnH4mqGLE1fgynsB6gcmPskTq1P3Bzk | 23191.133273     | 40814.968794     | 41085.122546     | 75.99%  | 0.66%     | 77.16%   |
| 2374M8ZtmrpdY3ywb7fLqokSd2mRhvdJu2PUwoJmbTUh | 45828.709403     | 102910.647555    | 97559.318709     | 124.55% | -5.20%    | 112.88%  |
| jagBNeXYncnn1hzwSq1JJ16XhWTgQ7DCFVqndSJZ6vT  | 106345.053932    | 164982.139539    | 187303.584906    | 55.14%  | 13.53%    | 76.13%   |
| Pid6HQnMCFb9izqX9i7X6ePdUPieGmjHoPxC1Jfooix  | 177203.705959    | 228609.318991    | 235957.686517    | 29.01%  | 3.21%     | 33.16%   |
| adramSYKBv1yHoZTub4kepcmF5LybPxwyJcsz4fpfi7  | 139464.377916    | 227670.210714    | 228300.713610    | 63.25%  | 0.28%     | 63.70%   |
